	x	y	scan1	scan2	boolean_x	boolean_y	combination
188	-2.5967215822647614	-8.274088367704952	7866.0	7364.0	False	True	Only one identification is reported
189	-2.2243929011341588	-2.0955915007263135	7874.0	8014.0	True	False	Only one identification is reported
190	-3.2869900507394636	-2.0955915007263135	7895.0	8014.0	True	False	Only one identification is reported
191	-4.892790030352131	-5.931814138253839	7922.0	2230.0	True	True	Both identifications are reported
192	-8.692503962086787	-4.761953896871205	7923.0	5673.0	True	True	Both identifications are reported
193	-12.657577319177793	-5.562249437179612	7928.0	5554.0	True	True	Both identifications are reported
194	-21.12726117252733	-2.5967215822647614	7934.0	7866.0	True	False	Only one identification is reported
195	-8.321481620959887	-4.761953896871205	7984.0	5673.0	True	True	Both identifications are reported
196	-18.366531544420415	-2.5967215822647614	7995.0	7866.0	True	False	Only one identification is reported
197	-8.233587152887601	-4.761953896871205	8000.0	5673.0	True	True	Both identifications are reported
198	-23.642065152999546	-21.317854923626168	8008.0	2218.0	True	True	Both identifications are reported
199	-2.563954279818212	-7.295849483160201	8012.0	5652.0	True	True	Both identifications are reported
200	-10.014573525916997	-5.562249437179612	8018.0	5554.0	True	True	Both identifications are reported
201	-11.555955204081924	-5.562249437179612	8025.0	5554.0	True	True	Both identifications are reported
202	-12.76447155309245	-11.452225294612177	8029.0	2922.0	True	True	Both identifications are reported
203	-4.510041520575165	-7.295849483160201	8032.0	5652.0	True	True	Both identifications are reported
204	-18.05700040663396	-11.75448733218585	8036.0	6220.0	True	True	Both identifications are reported
205	-13.213248577854438	-7.991399828238082	8056.0	1869.0	True	True	Both identifications are reported
206	-5.0726296369609765	-4.559090917934783	8064.0	5698.0	True	True	Both identifications are reported
207	-12.681936665037238	-16.82390874094432	8067.0	1816.0	True	True	Both identifications are reported
208	-16.291579099865288	-2.5967215822647614	8068.0	7866.0	True	False	Only one identification is reported
209	-15.108462542327436	-11.75448733218585	8078.0	6220.0	True	True	Both identifications are reported
210	-21.943095148663527	-7.991399828238082	8081.0	1869.0	True	True	Both identifications are reported
211	-8.667561540084394	-16.82390874094432	8095.0	1816.0	True	True	Both identifications are reported
212	-14.856985199745905	-2.5967215822647614	8140.0	7866.0	True	False	Only one identification is reported
